Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,Churn,RFMSegment,AgeCategory,SpendingCategory,CustomerType,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,ChurnRiskCategory,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Country,RegYear,RegMonth,RegDay,RegWeekday,MonetaryPerDay,AvgBasketValue
276,26,13885.32978226868,245.5065207972312,209.3966595370807,3044.37207679505,565.8565614671562,15338,895.9882970114669,-2791,4749,124,254,3,1,11,0.5218308753051893,192.44812973199717,892,144,26.45473189587076,3,79,4,12,0.247506128569804,1302,167,1.5663722226544978,25.53671768951243,13.824913842269408,2.929566408632816,0,Champions,25-34,High,Hyperactif,Automne,Nuit,Europe_S,Nouveau,Moyen,Inconnu,Grand,Specialise,Unknown,Active,Spain,2010,1,11,0,50.12754434032014,534.0511454718724
248,14,4484.284333149275,132.10440102165143,130.07889548102557,-2212.40127585447,3739.210470128136,82435,794.1354564741048,-4180,3340,80,67,0,10,2,0.5856543354287992,339.40272603726584,89,24,94.91675400939609,2,44,22,46,0.0796558409308869,6859,123,65.48066982539768,,8.652926054223089,4.280640003238428,1,Fideles,Inconnu,VIP,Perdu,Automne,Midi,Asie,Ancien,Critique,Weekend,Inconnu,Explorateur,Unknown,Suspended,Spain,2010,1,12,1,18.009174028711946,320.3060237963768
163,38,12240.853019786267,146.0120864711518,365.41048249036487,-2892.9503613279685,9444.485826943035,59681,159.14559620550872,-1467,549,484,615,4,6,8,0.0084955786072095,176.58586725272067,486,965,17.806091322506447,3,70,45,43,0.0698918118879476,8951,74,21.04375618024431,,2.2504629950394897,0.2837703850447723,1,Potentiels,35-44,Medium,Perdu,Printemps,Midi,Autre,Inconnu,Moyen,Weekend,Petit,Modere,Unknown,Suspended,Spain,2010,1,13,2,74.63934768162358,322.12771104700704
393,37,11890.987970701408,157.10853263851186,490.64854524862335,4574.480190380962,6417.343972985582,22101,52.73410284408405,-3323,5194,651,335,2,1,5,0.7610059829495553,179.01392030862172,708,425,96.59966430187482,4,79,9,40,0.6400303883516804,8939,239,89.12139849467113,24.22245023812133,13.713654710742986,4.832252565059742,0,Champions,Inconnu,High,Hyperactif,Printemps,Apres-midi,Europe_S,Ancien,Moyen,Weekend,Petit,Explorateur,M,Suspended,Germany,2010,1,14,3,30.180172514470577,321.37805326220024
356,11,1382.009464865113,402.4978194271684,128.2650312221239,-4911.367148865311,6714.791486672069,-7225,557.7532647389942,-789,7676,149,670,5,17,8,0.7130142918617408,43.70757780269414,350,746,2.470756128242875,3,70,45,31,0.9392602289115238,8785,249,86.04558664095894,44.20274157476111,13.638910428324742,-0.143290899162612,1,Potentiels,35-44,VIP,Nouveau,Ete,Soir,Asie,Inconnu,Moyen,Inconnu,Inconnu,Modere,F,Closed,Italy,2010,1,15,4,3.8711749716109605,125.63722407864663
191,36,11578.309483013543,271.88483195425096,327.08730073703725,4978.208556819782,6322.821536376398,87183,156.87977552863694,-6265,4088,339,408,4,20,8,0.3662863862065222,292.96952911556025,84,845,48.63144348986771,3,26,27,25,0.0019319142915051,5645,263,8.596009820892384,,14.826946629857536,-0.3932488709100503,0,Fideles,Inconnu,Low,Regulier,Printemps,Midi,Europe_N,Inconnu,Moyen,Weekend,Grand,Modere,F,Pending,UK,2010,1,16,5,60.30369522402887,321.6197078614873
226,13,-4259.847305690148,159.0973110822218,99.04881637987006,1768.212988573956,1989.921389594368,35619,834.7563616426768,-4265,73,128,299,2,3,6,0.0529359355688182,90.1423755504778,387,175,34.00341597353972,1,77,32,49,0.7257710469577774,5089,252,11.532452135993658,,12.98490501022366,-0.3267307645163626,0,Dormants,18-24,VIP,Nouveau,Automne,Matin,UK,Ancien,Moyen,Semaine,Moyen,Modere,Unknown,Active,Germany,2010,1,17,6,-18.765847161630607,-327.6805619761652
176,43,6925.397569641062,307.1152227389046,282.66512728580494,3284.69299449117,4183.338641022801,35838,358.9763220150021,-5355,6452,437,601,5,7,2,0.7549325397850504,328.358558620895,87,844,45.46321797909483,1,77,42,13,0.6570651825329454,9261,357,50.021987632419965,41.66946573895704,14.964550205121036,2.4387675396353883,0,Potentiels,65+,High,Regulier,Automne,Apres-midi,Asie,Jeune,Moyen,Inconnu,Moyen,Modere,M,Active,France,2010,1,18,0,39.126539941474924,161.05575743351307
98,3,-399.8232542459391,359.49458374048083,231.9662433441681,-2053.8060365380684,7509.397983633183,9539,912.9795522918388,-7982,199,500,356,5,19,8,0.9551751604781324,332.4508404205946,307,325,57.49579331909811,1,43,25,35,0.7323041922194659,5441,111,61.31304361416611,65.74506169054231,2.9149790099723614,3.6858464043083146,0,Champions,55-64,High,Nouveau,Automne,Soir,UK,Inconnu,Moyen,Inconnu,Petit,Explorateur,Unknown,Closed,France,2010,1,19,1,-4.03861872975696,-133.2744180819797
35,33,-2588.662284454424,139.94888036309922,486.0026648157685,-4856.847223329401,1013.7289755315916,92274,566.1224839688648,-6876,3202,57,255,5,13,11,0.2401515960220142,344.30819083406465,850,869,44.1233266432582,4,32,49,7,0.3554054067623355,7494,180,28.21592541074184,51.40559416107329,12.475993363187746,1.2000030672477986,0,Dormants,45-54,High,Occasionnel,Automne,Matin,Europe_E,Nouveau,Critique,Weekend,Grand,Specialise,M,Active,Spain,2010,1,20,2,-71.90728567928956,-78.44431165013407
95,6,-3460.935967415817,209.706805255049,304.26363634823326,2378.6951856153,2778.527760897123,47124,183.48971185542848,-4015,1782,197,352,1,11,6,0.3235246137370379,189.88412852262783,154,671,42.0698381798579,3,32,47,39,0.8204964446578551,6292,188,71.9629739532377,62.357397124467134,12.168452940732232,4.867375926716759,1,Champions,65+,High,Occasionnel,Automne,Nuit,Europe_N,Ancien,Faible,Inconnu,Moyen,Specialise,M,Closed,UK,2010,1,21,3,-36.05141632724809,-576.8226612359695
151,10,8925.775517562795,65.33361620178904,174.7531860434094,3341.445970006758,2763.191084658536,55149,140.4592684924403,-5346,7992,210,520,5,21,6,0.1838128894818149,247.13923144603015,440,860,73.53961812591734,1,43,28,21,0.0447069314188619,3308,308,59.89668607096828,34.38730692997015,2.69504574753174,1.6065208287099768,0,Fideles,25-34,VIP,Perdu,Hiver,Midi,Autre,Jeune,Moyen,Semaine,Moyen,Modere,F,Closed,Spain,2010,1,22,4,58.72220735238681,892.5775517562795
150,5,1797.4992753613224,94.66892801966677,57.04789244396669,2404.7613195351914,4320.18927594506,16616,576.8959651201961,-67,572,44,523,3,20,8,0.5769361233448397,284.1582962225072,740,348,68.90175123356,1,19,26,21,0.7554311006220276,8895,207,33.157586865106914,77.34001328881473,0.5750007840158524,-0.0973086953607023,0,Fideles,25-34,Low,Perdu,Ete,Matin,Europe_E,Ancien,Faible,Inconnu,Inconnu,Explorateur,F,Closed,France,2010,1,23,5,11.903968711002134,359.4998550722645
189,23,9495.33543057523,342.1533377126665,75.62341436746728,-3571.497126991614,9803.687409421853,69655,762.1217282505814,-2524,791,96,693,0,17,1,0.1548413946474549,47.82033580741994,960,798,83.49385692154894,1,35,17,15,0.2670719413490877,4709,234,3.511777316189244,,14.670728218841594,1.7958004891168202,1,Dormants,25-34,Low,Hyperactif,Ete,Soir,Autre,Etabli,Eleve,Semaine,Grand,Specialise,M,Pending,France,2010,1,24,6,49.97544963460647,412.84067089457517
223,10,-3692.8731840211526,94.81198210933532,112.65846497561756,2534.2792225696912,675.0254668382194,80695,781.7241420944399,-2339,1639,278,283,3,10,2,0.3561939434613794,219.34937617408647,264,18,25.74593914271006,4,6,39,26,0.4768377748580715,105,24,75.26487784855325,70.37341649097073,3.7363928243297657,3.074222992534639,0,Champions,35-44,High,Regulier,Printemps,Apres-midi,UK,Nouveau,Faible,Weekend,Grand,Explorateur,F,Closed,Italy,2010,1,25,0,-16.48604100009443,-369.28731840211526
36,44,1305.8067566122063,264.9558749151948,125.483330670149,2689.22782107641,5187.009943805951,44567,276.48164703684,-72,1832,534,311,0,7,9,0.697013013934263,12.51873397570876,977,44,61.34332246565229,4,31,9,9,0.8226362715572205,9690,26,22.260612916683183,40.99787868899515,12.934268647484895,3.993354683026272,0,Champions,45-54,Low,Occasionnel,Automne,Matin,Europe_N,Etabli,Eleve,Inconnu,Moyen,Specialise,M,Pending,Italy,2010,1,26,1,35.2920745030326,29.67742628664105
267,2,5789.825847506745,355.9778995526042,425.3080289205689,1585.405156700549,1793.6468201221046,27099,205.0425121532553,-5920,1856,409,98,4,1,11,0.5601159830093484,181.61162043688492,735,155,58.93428375389253,3,66,41,24,0.271359035191137,3834,381,83.61290060280021,24.313314990183045,-0.9339655252063376,1.7526097397395572,0,Champions,25-34,VIP,Nouveau,Hiver,Apres-midi,Europe_C,Inconnu,Critique,Semaine,Grand,Modere,M,Pending,Italy,2010,1,27,2,21.603827789204274,2894.9129237533725
368,13,10814.463296779271,57.9040769318982,280.61139414126245,2661.159327955862,9706.765454097442,65831,17.73954818789003,-1911,5607,460,196,4,14,8,0.3864625643279352,56.517578791383,421,867,37.60404327639618,3,38,4,30,0.1852075116438934,396,218,42.60873574537126,,-0.6636030844863647,2.5616409562950047,0,Champions,25-34,Low,Hyperactif,Automne,Nuit,Europe_N,Inconnu,Faible,Weekend,Grand,Modere,M,Active,Spain,2010,1,28,3,29.307488609157918,831.8817920599439
182,40,1375.0500586413982,285.8195487163073,261.6954556871832,3459.214396777321,1133.035047274642,90246,679.5199520499682,-604,1175,390,481,0,8,7,0.4202496018075419,66.76686797616091,493,922,49.11969664836541,3,92,9,20,0.6813131853478842,3518,494,58.130666820544775,18.488857845257744,6.453940939141894,0.6040682729531202,0,Fideles,Inconnu,Medium,Nouveau,Automne,Soir,Europe_N,Etabli,Eleve,Semaine,Grand,Modere,F,Suspended,UK,2010,1,29,4,7.513934746674307,34.37625146603496
12,2,7517.827528740181,131.99857793217507,57.38443593460873,1136.0411423745843,4036.010023615912,51799,77.49169017510545,-6453,3741,43,225,3,18,7,0.5621108826232295,133.24236184279957,633,377,32.064432187267144,1,23,49,26,0.5333948915068045,3292,346,87.42192431049119,47.94345752362702,2.819434942961017,2.875499158433084,1,Champions,18-24,Low,Occasionnel,Printemps,Soir,Autre,Etabli,Faible,Inconnu,Inconnu,Specialise,Unknown,Pending,Italy,2010,1,30,5,578.2944252877062,3758.9137643700906
278,20,12719.554964723742,481.648803242602,430.0698466747175,-4113.9528603032095,7378.849848346062,80221,421.3404405641599,-203,3278,26,614,0,19,5,0.0058647278871613,157.8395658515236,993,743,15.042595364081537,2,85,20,16,0.5144038687461845,2011,378,86.49867709107538,,10.037460534975429,4.915831663702062,0,Fideles,55-64,High,Occasionnel,Hiver,Midi,Europe_C,Inconnu,Critique,Inconnu,Moyen,Explorateur,F,Pending,Germany,2010,1,31,6,45.58980274094531,635.9777482361872
216,1,7317.263763646091,244.35509512636276,361.40715160424185,-123.7219033278916,7045.544280274453,15479,602.0804818542778,-7139,179,96,617,5,7,2,0.0785098684536098,227.45793495424837,411,883,22.16631985561055,4,69,23,32,0.2567695155379131,4538,10,37.78043794911376,57.524656779427815,8.04902920908727,-0.7056785644732368,1,Champions,55-64,Low,Occasionnel,Hiver,Soir,Europe_S,Jeune,Faible,Semaine,Petit,Modere,Unknown,Suspended,Italy,2010,2,1,0,33.720109509889824,7317.263763646091
354,37,-340.8105049273245,403.9663121387032,33.83418095000079,-4223.506653283949,4227.2863689393225,36172,937.1718359747572,-7846,2245,547,364,1,18,11,0.8812580677630116,27.166372730058217,173,828,11.445850993718908,1,87,37,30,0.0348803058200276,9861,17,21.68000037876947,,0.2397727592078631,4.3191840242310064,0,Champions,55-64,Low,Occasionnel,Ete,Matin,Europe_S,Nouveau,Eleve,Weekend,Grand,Explorateur,F,Pending,Spain,2010,2,2,1,-0.960029591344576,-9.211094727765527
360,9,-4511.98436886924,277.3621383673496,353.9175486148843,-924.5696896756916,3465.2416795271824,89165,312.49033481881287,-4506,4087,620,367,4,4,6,0.0778789890912907,183.84749285166728,4,402,68.62388794382228,1,86,2,49,0.4102691383317168,4969,245,77.73946169513087,47.25738309820069,1.602052741051473,2.3736950166051365,0,Potentiels,65+,Low,Nouveau,Automne,Matin,Europe_S,Ancien,Moyen,Weekend,Moyen,Explorateur,F,Suspended,UK,2010,2,3,2,-12.498571658917562,-501.33159654102667
285,17,12401.977478018598,26.489203763135485,271.769108671323,-928.9351087437236,3976.123785528706,45863,250.52239028407325,-7096,735,566,569,1,10,10,0.7068035962105051,66.6581725423819,854,225,66.412011917806,3,53,39,41,0.1065594804677679,4763,206,43.87494015661099,69.502390161117,5.208788320934628,0.5125919573737996,0,Potentiels,Inconnu,Low,Hyperactif,Hiver,Matin,UK,Etabli,Moyen,Weekend,Petit,Modere,Unknown,Active,Italy,2010,2,4,3,43.36355761544964,729.5280869422704
272,9,-4574.611782992257,318.4099309190411,40.86267287338913,-4339.901558597584,2642.7626315863927,32043,654.5059941318124,-6731,6233,703,589,5,14,3,0.9200381641090526,209.5009388865858,640,217,95.1100307864074,3,37,30,25,0.9059891506492022,1052,258,20.012157362341405,49.99040377792063,1.9696650232869304,4.729338260055547,0,Champions,Inconnu,Medium,Occasionnel,Ete,Nuit,Europe_N,Nouveau,Moyen,Weekend,Inconnu,Specialise,M,Closed,UK,2010,2,5,4,-16.756819717920354,-508.29019811025074
368,11,12494.033453683987,475.9446543922952,229.15032076432823,-1511.794660305207,2053.329387067998,72569,619.619793021528,-7596,799,218,74,5,7,4,0.2706836043017311,232.652683475332,986,568,73.23816295107689,1,73,40,20,0.0412503234717305,2842,112,90.53810888939788,49.23792195955352,11.675557555902856,1.9001258183533936,0,Fideles,18-24,VIP,Perdu,Hiver,Soir,Asie,Ancien,Critique,Semaine,Moyen,Modere,Unknown,Suspended,Germany,2010,2,6,5,33.85916925117612,1135.8212230621807
61,15,5578.742680544239,302.79785097243393,242.3481435650235,-3890.019012086852,4830.3969755889,92438,332.77767352481646,-7157,7602,184,41,4,18,10,0.3704914370595142,203.19887864179165,992,31,6.152538036857013,4,79,36,35,0.4316508541843814,6619,205,20.61231522986765,76.616680070263,5.657123768852481,0.9901415100403136,0,Champions,35-44,High,Hyperactif,Automne,Soir,Europe_C,Ancien,Moyen,Inconnu,Inconnu,Modere,M,Closed,France,2010,2,7,6,89.97972065393934,371.91617870294925
83,24,13781.353970257922,410.49848541626113,82.88727008163788,3082.352100092222,2685.3375606760733,5408,928.1737336742768,-6218,788,68,421,4,22,11,0.5689214058447163,269.4778613245823,472,869,88.54027221896646,4,74,1,0,0.0522455837008278,4724,27,3.5549096509318767,74.06784973104094,0.4949098694799883,0.0889857696250469,0,Potentiels,65+,High,Perdu,Ete,Matin,Asie,Etabli,Critique,Semaine,Moyen,Specialise,M,Suspended,UK,2010,2,8,0,164.06373774116574,574.22308209408
367,38,10975.664715473307,442.68219935746185,472.8490735001412,4476.880259644708,2874.616648972501,47980,845.0174651621431,-6436,2796,129,180,5,7,2,0.8817089696385847,122.49737414792898,110,59,86.40484113162685,1,31,1,3,0.0955438745647663,7473,457,3.007717402974577,,6.7494864363539975,0.4667132615399725,0,Champions,18-24,Low,Nouveau,Hiver,Midi,UK,Jeune,Moyen,Inconnu,Inconnu,Explorateur,F,Closed,Italy,2010,2,9,1,29.825175857264423,288.83328198613964
216,35,14958.68221066675,117.89948711472158,424.98768574033096,-4276.835247420614,6567.5606347455705,72956,224.75856331921608,-6816,7351,566,544,2,18,2,0.9419055872604202,279.2639059460928,867,892,44.888711756497166,2,44,38,3,0.658866666922022,7914,71,62.60922028897216,36.6641124589574,0.4534108969826267,3.997094249548655,0,Potentiels,25-34,VIP,Occasionnel,Printemps,Midi,Europe_C,Jeune,Critique,Inconnu,Moyen,Specialise,F,Active,Spain,2010,2,10,2,68.93401940399424,427.3909203047643
341,30,2014.2363090342035,109.9621957545722,334.51116866455413,4551.152072917013,9685.373316998925,6351,239.90340288908865,-7254,4305,608,70,1,17,8,0.7395632481112681,157.9599848234907,37,898,59.00044200226423,2,60,48,25,0.6471112609740945,5525,176,66.50583101103551,52.33553019060825,1.062996886717075,2.686460055902995,0,Champions,45-54,Low,Hyperactif,Hiver,Soir,Asie,Nouveau,Critique,Semaine,Inconnu,Specialise,F,Pending,Spain,2010,2,11,3,5.889579850977203,67.14121030114012
396,31,10343.765778622535,307.4355894812409,231.1477805003036,225.7659933674513,6036.372005593751,-5869,512.7880465401936,-6275,4589,598,567,1,9,8,0.086619760854694,176.72734188774783,992,353,97.63175491477936,4,69,41,3,0.0330521948794397,3585,202,31.79312880064141,32.105525698258155,2.8337573124512847,4.479473716929896,0,Dormants,65+,Medium,Occasionnel,Automne,Soir,Autre,Nouveau,Faible,Semaine,Petit,Modere,F,Active,Spain,2010,2,12,4,26.054825638847696,333.6698638265334
186,49,3038.618272184844,208.45909255431883,205.88277079225423,-2004.343220461261,769.7946706496627,34825,773.7985296289896,-4812,7298,630,104,2,6,10,0.6691541555348508,236.55727645029103,583,935,53.69813202096846,3,87,43,48,0.0011314751208701,8540,248,32.681087935459274,,12.752443283959837,0.391810712946715,0,Champions,65+,VIP,Occasionnel,Printemps,Apres-midi,UK,Inconnu,Moyen,Weekend,Moyen,Specialise,F,Pending,Spain,2010,2,13,5,16.249295573180984,62.012617799690695
18,5,4597.512406078176,420.7313449190266,325.4867335754771,-4231.379247238365,755.8361385406698,1349,44.996339009075925,-7730,6809,719,199,3,8,6,0.410303721872662,6.700810159716745,801,445,90.62686100923288,2,96,33,8,0.078818077242784,1264,118,34.60989759093433,48.50542314286681,13.79380051732755,-0.2731685569065911,0,Fideles,25-34,VIP,Hyperactif,Hiver,Soir,UK,Jeune,Faible,Inconnu,Petit,Specialise,Unknown,Closed,UK,2010,2,14,6,241.97433716200928,919.5024812156353
176,44,7550.109264367402,450.51144608201554,272.7159347034527,6.242680704178383,9514.23220845566,50931,693.641818580972,-3135,3085,333,100,1,0,5,0.4707009994910616,238.70789081839064,31,235,9.220837023208457,2,52,41,29,0.7629988977119422,4666,9,68.33569612912899,70.39332253066785,12.220123669313104,-0.96347481414646,0,Potentiels,25-34,VIP,Occasionnel,Hiver,Matin,UK,Nouveau,Eleve,Weekend,Grand,Specialise,Unknown,Closed,Spain,2010,2,15,0,42.6559845444486,171.5933923719864
99,14,12473.542283726776,179.9435827548455,31.136552940942806,2945.1554449074865,2972.9079030733365,34254,648.5876614847149,-2189,5754,153,306,0,18,8,0.049148390345177,225.7835794113221,951,107,19.9141350021596,3,50,19,44,0.5845764727515071,8015,86,6.75524531165603,74.44978701547456,4.345235478685556,2.047172225695963,0,Dormants,45-54,VIP,Occasionnel,Ete,Nuit,Europe_C,Inconnu,Moyen,Weekend,Petit,Explorateur,Unknown,Pending,France,2010,2,16,1,124.73542283726776,890.967305980484
395,11,14681.669383985904,122.25092669236862,256.25132438516584,2070.864772666981,920.6698608247544,28225,232.2486158170753,-2394,2919,546,585,5,4,4,0.1910621393463581,113.09419761494716,381,191,44.634739400690464,2,75,32,3,0.0381182451884916,1352,23,92.98251891644124,44.12106393097811,3.3591430577413064,4.989841582291929,0,Potentiels,55-64,Low,Regulier,Automne,Soir,Asie,Ancien,Moyen,Semaine,Moyen,Explorateur,Unknown,Suspended,Germany,2010,2,17,2,37.07492268683309,1334.6972167259912
232,9,10365.468277290363,391.3601300457116,403.2018086164197,-4497.739885360263,5990.445871503815,94383,681.6716602281074,-4044,732,78,682,5,18,11,0.7905136075336477,31.31491398831366,268,992,58.89092402539317,1,55,3,4,0.4880970158728273,6981,455,23.0295833735672,19.115380039613942,7.786491052643827,3.1697916129118333,1,Potentiels,65+,Medium,Regulier,Hiver,Soir,Asie,Nouveau,Moyen,Weekend,Petit,Modere,F,Active,UK,2010,2,18,3,44.48698831455091,1151.7186974767071
75,34,3355.335643346676,141.02898759632737,229.61993879847904,-4270.9816463209645,6236.487782902661,2453,940.2430080608306,-7829,1130,578,376,2,0,4,0.4539588330478598,33.191439218260015,11,530,81.80655733441722,2,26,44,44,0.7120293570544514,7191,240,99.96764731896714,72.29175190672933,10.549650568529795,0.8503675517908764,0,Fideles,18-24,VIP,Hyperactif,Hiver,Matin,Europe_E,Inconnu,Moyen,Weekend,Moyen,Modere,Unknown,Suspended,UK,2010,2,19,4,44.14915320192995,98.68634245137282
264,12,3427.140045541404,412.1940876642708,25.978288777134207,-971.2671736736288,6485.048201186882,8814,47.739059126796754,-7727,3447,412,654,1,14,5,0.3016622416311488,336.97666764960843,344,913,98.8379493991755,3,37,43,22,0.8689513946008063,3828,73,17.98074668493151,28.979556745585725,14.893964610562795,4.26115149815703,0,Champions,35-44,High,Hyperactif,Hiver,Apres-midi,UK,Jeune,Faible,Weekend,Inconnu,Explorateur,Unknown,Closed,Spain,2010,2,20,5,12.932603945439261,285.595003795117
283,35,9751.64603177783,214.7504355561376,393.1390996920165,-2047.0950595205672,2674.020278575413,8263,320.33240323677046,-5694,1606,545,677,3,15,1,0.3840190739649581,251.58695224743056,840,738,39.49629815093753,1,61,10,15,0.9340364906590104,8862,27,77.38309927392537,57.17856372509479,1.1051313900628197,3.6903335959277577,1,Fideles,25-34,High,Occasionnel,Automne,Soir,Europe_S,Ancien,Faible,Semaine,Grand,Specialise,M,Active,Spain,2010,2,21,6,34.33678180203461,278.61845805079514
